Date,Time,Estádio,Cidade,País,Endereço completo,Latitude,Longitude
"sáb, 22/01/11",13:00,Gaughan Group Stadium,Greater London,United Kingdom,"Brisbane Road, Leyton, London Borough of Waltham Forest, London, Greater London, England, E10 5NF, United Kingdom",51.5600713,-0.0125999
"sáb, 12/02/11",13:00,Gaughan Group Stadium,Greater London,United Kingdom,"Brisbane Road, Leyton, London Borough of Waltham Forest, London, Greater London, England, E10 5NF, United Kingdom",51.5600713,-0.0125999
"sáb, 26/02/11",12:00,John Smith's Stadium,West Yorkshire,United Kingdom,"John Smith’s Stadium, Stadium Way, Aspley, Huddersfield, Kirklees, West Yorkshire, England, HD1 6PG, United Kingdom",53.6543494,-1.7682999
"ter, 08/03/11",16:45,Banks's Stadium,West Midlands,United Kingdom,"Poundland Bescot Stadium, Bescot Crescent, Bescot, Darlaston, Walsall, West Midlands, England, WS1 4SA, United Kingdom",52.5655014,-1.9904976
"qui, 15/12/11",16:00,Tallaght Stadium,County Dublin,Éire / Ireland,"Tallaght Stadium, Whitestown Way, Tallaght-Oldbawn DED 1986, Tallaght, South Dublin, County Dublin, Leinster, D24 XC9W, Éire / Ireland",53.2833599,-6.3738004
"ter, 17/01/12",17:45,The Den,Greater London,United Kingdom,"The Den, John Berylson Way, South Bermondsey, Bermondsey, London Borough of Lewisham, London, Greater London, England, SE16 3LA, United Kingdom",51.4859529,-0.0509149
"sáb, 25/02/12",13:00,Turf Moor,Lancashire,United Kingdom,"Turf Moor, Harry Potts Way, Pike Hill, Fulledge, Burnley, Lancashire, England, BB10 4AX, United Kingdom",53.7893606,-2.2298547
"ter, 06/03/12",16:45,Weston Homes Stadium,Cambridgeshire and Peterborough,United Kingdom,"Weston Homes Stadium, London Road, New Fletton, Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE2 8AL, United Kingdom",52.5644501,-0.2400569
"ter, 20/03/12",16:45,Keepmoat Stadium,South Yorkshire,United Kingdom,"Eco-Power Stadium, Stadium Way, Lakeside Village Outlet, Lakeside, Doncaster, South Yorkshire, England, DN4 5JW, United Kingdom",53.5097784,-1.1137713
"sáb, 07/04/12",11:00,The Den,Greater London,United Kingdom,"The Den, John Berylson Way, South Bermondsey, Bermondsey, London Borough of Lewisham, London, Greater London, England, SE16 3LA, United Kingdom",51.4859529,-0.0509149
