match_link,date,time,stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034226,"sáb, 22/01/11",13:00,Gaughan Group Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034278,"sáb, 12/02/11",13:00,Gaughan Group Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034303,"sáb, 26/02/11",12:00,John Smith's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034327,"ter, 08/03/11",16:45,Banks's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1146227,"qui, 15/12/11",16:00,Tallaght Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1178132,"ter, 17/01/12",17:45,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132134,"sáb, 25/02/12",13:00,Turf Moor
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132160,"ter, 06/03/12",16:45,Weston Homes Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132194,"ter, 20/03/12",16:45,Keepmoat Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132229,"sáb, 07/04/12",11:00,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132242,"ter, 10/04/12",15:45,Fratton Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132254,"sáb, 14/04/12",11:00,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132284,"sáb, 28/04/12",08:30,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2266612,"seg, 17/12/12",11:00,Colney Training Centre
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2288817,"seg, 04/02/13",10:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226158,"ter, 26/02/13",16:45,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226286,"sex, 26/04/13",15:45,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2348217,"sex, 09/08/13",15:50,Electrical Services Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2348238,"seg, 19/08/13",08:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350304,"seg, 16/09/13",15:00,Pirelli Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2370514,"qua, 30/10/13",17:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350611,"ter, 14/01/14",10:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350676,"seg, 10/03/14",09:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332282,"seg, 07/04/14",16:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332287,"sáb, 12/04/14",11:05,The Hawthorns
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332301,"sáb, 19/04/14",08:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2483434,"qui, 21/08/14",13:00,Antonis Papadopoulos
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2483464,"qui, 28/08/14",15:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490253,"qua, 24/09/14",15:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2492386,"qui, 02/10/14",16:05,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2492389,"qui, 23/10/14",17:05,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2500663,"qua, 29/10/14",17:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486567,"dom, 02/11/14",14:00,Villa Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2492390,"qui, 06/11/14",16:00,Gipedo Theodoros Kolokotronis
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486587,"dom, 23/11/14",14:00,MKM Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486627,"dom, 14/12/14",14:00,Swansea.com Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2508621,"qua, 17/12/14",17:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486637,"sáb, 20/12/14",13:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486644,"sex, 26/12/14",13:00,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486667,"qui, 01/01/15",15:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486672,"sáb, 10/01/15",15:30,Selhurst Park
